Lineas y recorridos a alto nivel - http://www.xcolectivo.com.ar

Linea 1,Moron - Primera Junta
Linea 2,Lomas del Mirador - Liniers - Aduana - Costanera Sur
Linea 4,Costanera Sur - Liniers - Lomas del Mirador - Correo Central
Linea 5,Barrio Piedrabuena - Lacarra y Av. Rivadavia (Floresta) - Tribunales - Retiro
Linea 6,Hospital Ferroviario - Retiro - Pompeya - Villa Soldati
Linea 7,Retiro - Once - Parque Avellaneda - Barrio Samore
Linea 8,Hospital Argerich - Facultad de Ingenieria - Plaza de Mayo - Liniers - Mercado Central - Aeropuerto de Ezeiza
Linea 9,Retiro - Villa Caraza
Linea 10,Puente Pacifico - Palermo - Villa Dominico - Sarandi
Linea 12,Puente Pueyrredon - Plaza Constitucion - Puente Pacifico - Palermo - Plaza Falucho
Linea 15,Puente Uriburu - Barrancas de Belgrano - Benavidez - General Pacheco
Linea 17,Facultad de Derecho - Wilde
Linea 19,Plaza Miserere - Carapachay
Linea 20,Retiro - Esteban Echeverria
Linea 21,Puente La Noria - Liniers - Puente Saavedra - Vicente Lopez - Florida - Fabrica Ford - Tigre
Linea 22,Retiro - Quilmes
Linea 23,Retiro - Villa Soldati
Linea 24,Villa del Parque - Cementario de Avellaneda - Wilde - Avellaneda
Linea 25,Estacion Saenz Peña - La Boca
Linea 26,Retiro - Barrio Rivadavia
Linea 28,Retiro - Puente de La Noria - Puente Uriburu - Liniers - Puente Saavedra - Ciudad Universitaria
Linea 29,La Boca - Estacion Rivadavia - Olivos - Parque Sarmiento
Linea 31,Plaza Miserere - Nueva Pompeya - Ingeniero Budge - Av. Olimpo y Camino de Cintura
Linea 32,Plaza Miserere - Lanus - Nueva Pompeya - Remedios de Escalada
Linea 33,Ciudad Universitaria - Retiro - Monte Chingolo - Remedios de Escalada
Linea 34,Liniers - Palermo - Hipodromo Argentino de Palermo - Av. Figueroa Alcorta y La Pampa
Linea 36,Villa Celina - Puente de La Noria - Plaza Italia - Puente Pacifico
Linea 37,Lanus - Congreso - Palermo - Ciudad Universitaria
Linea 39,Chacarita - Palermo - Constitucion - Barracas
Linea 41,Plaza Martin Fierro - Plaza Miserere - Plaza Italia - Munro
Linea 42,Nueva Pompeya - Ciudad Universitaria
Linea 44,Barrancas de Belgrano - Puente Uriburu
Linea 45,Ciudad Universitaria - Retiro - Constitucion - Lanus - Remedios de Escalada
Linea 46,San Justo - Liniers - La Boca - Universidad Nacional de La Matanza
Linea 47,Autodromo Oscar A. Galvez - Liniers - Chacarita
Linea 49,Primera Junta - La Tablada - Isidro Casanova
Linea 50,Terminal de Omnibus de Retiro - Barrio Luis Piedrabuena - Avenida Eva Perón y Avenida General Paz - Hospital Piñero
Linea 51,Constitucion - Cañuelas - Lanus - Coronel Brandsen
Linea 53,La Boca - Constitucion - Flores - Jose C. Paz
Linea 55,Barrancas de Belgrano - San Justo - Don Bosco - Flores - Palermo - Barrancas de Belgrano
Linea 56,Retiro - Ciudad Evita
Linea 57,Palermo - Plaza Italia - Moreno - Lujan - Pilar - Capilla del Señor - Plaza Miserere - Puente Saavedra
Linea 59,Estacion Buenos Aires - Acassuso
Linea 60,Constitucion - Congreso - Palermo - Barrancas de Belgrano - San Fernando - Tigre - Rincon de Milberg - Escobar
Linea 61,Constitucion - Plaza Miserere - Facultad de Derecho - Retiro
Linea 62,Constitucion - Retiro - Facultad de Derecho - Plaza Miserere
Linea 63,Barrancas de Belgrano - Villa Madero
Linea 64,La Boca - Barrancas de Belgrano
Linea 65,Constitucion - Barrancas de Belgrano
Linea 67,Hospital Rawson - Constitucion - Plaza Italia - Villa Martelli - Munro
Linea 68,Puente Saavedra - Puente Pacifico - Plaza Italia - Plaza Miserere
Linea 70,Retiro - Valentin Alsina
Linea 71,Villa Adelina - Villa Urquiza - Chacarita - Plaza Miserere
Linea 74,Correo Central - Burzaco
Linea 75,Retiro - Tribunales - Plaza Miserere - Nueva Pompeya - Lanus - Remedios de Escalada
Linea 76,Nueva Pompeya - Villa Soldati - Chacarita - Saavedra
Linea 78,Chacarita - Villa Adelina
Linea 79,Constitucion - Lomas de Zamora - Remedios de Escalada - Aeropuerto de Ezeiza - Cañuelas - San Vicente
Linea 80,Barrio Sarmiento - Villa Lugano - Liniers - Barrancas de Belgrano
Linea 84,Villa del Parque - Constitucion
Linea 85,Ciudadela Norte - Villa Devoto - Nueva Pompeya - Quilmes
Linea 86,La Boca - Congreso - Primera Junta - Flores - Mercado Central - Gonzalez Catan
Linea 87,Chacarita - Jose Leon Suarez - Boulogne - Fabrica Ford
Linea 88,Plaza Miserere - Flores - Liniers - San Justo - Lobos - Cañuelas - General Belgrano
Linea 90,Constitucion - Congreso - Chacarita - Villa Devoto
Linea 91,Retiro - Constitucion - Aldo Bonzi - Villegas
Linea 92,Retiro - Recoleta - Flores - Camino de Cintura y Av. Olimpo
Linea 93,Munro - Palermo - Retiro - Avellaneda
Linea 95,Avellaneda - Facultad de Medicina - Palermo - Estacion Carranza
Linea 96,Constitucion - Flores - Liniers - San Justo - Laferrere - Gonzalez Catan - Isidro Casanova - Rafael Castillo - San Alberto - Villa Scasso
Linea 97,Constitucion - Av. Eva Peron y Av. Gral. Paz - Gonzalez Catan - Moron
Linea 98,Plaza Miserere - Constitucion - Berazategui - Quilmes
Linea 99,Plaza de Mayo - Correo Central - Liniers
Linea 100,Retiro - Constitucion - Lanus
Linea 101,Retiro - Recoleta - Plaza Miserere - Barrio Samore - Puente La Noria - Ingeniero Budge
Linea 102,Palermo - Congreso - Constitucion - Barracas
Linea 103,Tapiales - Primera Junta - Aduana - Puerto Madero
